AdmitMonth,episodes,high_severity,valid_stays,mean_los,genuine_bills,validated_revenue,mean_validated_bill,share_%
5,30,12,29,7.86,6,17395.0,2899.17,12.15
10,27,11,24,6.79,6,13662.0,2277.0,10.93
1,24,5,21,7.05,4,15425.0,3856.25,9.72
12,23,7,20,5.55,2,9840.0,4920.0,9.31
7,22,6,18,5.89,1,1262.0,1262.0,8.91
6,22,10,20,4.45,9,17124.0,1902.67,8.91
11,20,3,18,6.33,5,21831.0,4366.2,8.1
3,19,8,16,6.38,3,12531.0,4177.0,7.69
2,18,6,16,8.12,6,17772.0,2962.0,7.29
4,17,8,16,7.38,5,13757.0,2751.4,6.88
9,15,8,11,7.36,4,8926.0,2231.5,6.07
8,10,5,9,8.89,1,3630.0,3630.0,4.05
